caseName,date,WS925,WD925,IVT,LTS
ish_20151113,2015-11-13,6.43632173538208,165.83338165283203,333.0231738977424,15.127999999999986
ish_20151219,2015-12-19,8.218631744384766,70.21395874023438,190.9515428530587,18.470000000000027
ish_20161024,2016-10-24,5.362205028533936,38.93618774414063,244.51745361378448,13.913999999999987
ish_20161211,2016-12-11,8.623191833496094,70.00003051757812,195.2800108825801,13.708000000000029
ish_20170117,2017-01-17,7.165674209594727,74.26522827148438,182.4965768701355,13.307000000000016
ish_20170203,2017-02-03,6.623194217681885,72.96926879882812,123.2184906992953,16.903999999999996
ish_20170312,2017-03-12,7.994636535644531,90.0,242.2893475613129,15.812999999999988
ish_20180313,2018-03-13,6.784840106964111,118.36093139648438,115.49226038420488,13.115999999999984
ish_20180421,2018-04-21,5.1340012550354,101.57571411132812,173.86154835084616,18.373000000000047
ish_20190212,2019-02-12,8.35046100616455,66.90412902832031,277.2554427441744,13.819999999999991
ish_20190413,2019-04-13,7.065408229827881,118.08981323242188,234.744151521842,14.63299999999998
ish_20190422,2019-04-22,4.01828670501709,172.4251251220703,161.43495621624135,12.31400000000002
ish_20191215,2019-12-15,6.189204216003418,71.88505554199219,103.53524541609818,22.180000000000007
ish_20200211,2020-02-11,5.848994255065918,129.76199340820312,115.55903444461732,17.101999999999975
ish_20200321,2020-03-21,5.230485916137695,151.64006805419922,179.728779696418,14.396000000000017
ish_20200427,2020-04-27,7.682602882385254,74.56076049804688,225.59299299741195,14.281000000000006
